,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
2727,Sonic Heroes,XB,Sega,Sonic Team,7.2,7.966666666666666,0.9,2004.0
2728,Madden NFL 99,N64,EA Sports,EA Tiburon,9.166666666666666,5.533333333333334,0.9,1998.0
2729,Spider-Man 3,PS2,Activision,Vicarious Visions,4.4,7.699999999999999,0.9,2007.0
2730,James Bond 007: Agent Under Fire,XB,Electronic Arts,EA Redwood Shores,7.6,6.166666666666667,0.9,2002.0
2731,Reus,PC,Abbey Games,Unknown,7.5,7.2,0.9,2013.0
2732,X-Men Legends,XB,Activision,Raven Software,8.2,8.133333333333333,0.9,2004.0
2733,NBA Live 2005,XB,EA Sports,EA Canada,8.9,4.666666666666666,0.9,2004.0
2734,LEGO Indiana Jones 2: The Adventure Continues,PS3,LucasArts,Traveller's Tales,6.0,7.333333333333333,0.9,2009.0
2735,Harry Potter: Quidditch World Cup,PS2,Electronic Arts,Electronic Arts,7.2,6.466666666666666,0.9,2003.0
2736,Buzz! Master Quiz,PSP,Sony Computer Entertainment,Relentless Software,7.0,8.1,0.9,2008.0
2737,Madagascar,GBA,Activision,Vicarious Visions,5.5,7.566666666666666,0.89,2005.0
2738,God of War Saga,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,8.0,7.833333333333333,0.89,2012.0
2739,Injustice 2,XOne,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.9,8.2,0.89,2017.0
2740,Blitz: The League,PS2,Midway Games,Midway Games,7.8,7.566666666666666,0.89,2005.0
2741,Minecraft: Story Mode,PS3,Mojang,Telltale Games,6.3,6.533333333333334,0.89,2015.0
2742,TouchMaster 2,DS,Midway Games,Midway Studios San Diego,7.3,7.266666666666667,0.89,2008.0
2743,Castlevania: Circle of the Moon,GBA,Konami,KCEK,8.9,8.566666666666666,0.89,2001.0
2744,Pure,PS3,Disney Interactive Studios,Black Rock Studio,7.0,8.266666666666666,0.89,2008.0
2745,Ni no Kuni II: Revenant Kingdom,PS4,Namco Bandai Games,Level 5,8.7,7.4,0.89,2018.0
2746,Tiger Woods PGA Tour 06,PS2,EA Sports,EA Sports,8.4,6.966666666666666,0.89,2005.0
2747,Classic NES Series: The Legend of Zelda,GBA,Nintendo,Nintendo,6.833333333333333,6.666666666666667,0.89,2004.0
2748,Fire Emblem: The Sacred Stones,GBA,Nintendo,Intelligent Systems,8.4,8.266666666666667,0.89,2005.0
2749,Rhythm Heaven Fever,Wii,Nintendo,Nintendo / TNX,7.0,6.933333333333334,0.89,2012.0
2750,Pokemon Card GB2: GRdan Sanjou,GB,Nintendo,Hudson Soft,7.566666666666667,8.0,0.89,2001.0
2751,Metal Gear Solid V: Ground Zeroes,PC,Konami Digital Entertainment,Kojima Productions,8.5,7.6,0.89,2014.0
2752,God of War III Remastered,PS4,Sony Computer Entertainment,SCEA Santa Monica Studio,8.1,8.0,0.89,2015.0
2753,We Ski & Snowboard,Wii,Namco Bandai,Namco Bandai Games,7.266666666666666,6.166666666666667,0.89,2009.0
2754,Finding Nemo,GC,THQ,Traveller's Tales,6.0,6.066666666666667,0.89,2003.0
2755,Tiger Woods PGA Tour 12: The Masters,PS3,EA Sports,EA Tiburon,8.0,6.966666666666666,0.89,2011.0
2756,Dissidia 012: Duodecim Final Fantasy,PSP,Square Enix,Square Enix,8.3,8.6,0.89,2011.0
2757,NFL 2K2,PS2,Sega,Visual Concepts,9.0,6.733333333333334,0.89,2001.0
2758,Resident Evil: Revelations,3DS,Capcom,Capcom,7.8,8.4,0.89,2012.0
2759,Call of Duty: World at War,DS,Activision,n-Space,7.4,4.8,0.89,2008.0
2760,CSI: Hard Evidence,Wii,Ubisoft,Telltale Games,7.066666666666666,5.0,0.89,2008.0
2761,The Tomb Raider Trilogy,PS3,Square Enix,Crystal Dynamics,8.5,7.3999999999999995,0.89,2011.0
2762,Assassin's Creed III,PC,Ubisoft,Ubisoft Montreal,8.6,6.3,0.89,2012.0
2763,Fortnite,PS4,Gearbox Software,Epic Games,7.8,3.9,0.89,2017.0
2764,Fossil Fighters,DS,Nintendo,RED Entertainment,6.9,8.066666666666668,0.89,2009.0
2765,FIFA Soccer 09 All-Play,Wii,Electronic Arts,EA Canada,7.2,5.5,0.89,2008.0
2766,Samba De Amigo,Wii,Sega,Gearbox Software,6.7,5.366666666666666,0.89,2008.0
2767,MLB 2001,PS,Sony Computer Entertainment,989 Sports,7.4,7.8,0.89,2000.0
2768,Duke Nukem Forever,PC,2K Games,Gearbox Software,4.6,5.8,0.89,2011.0
2769,The Simpsons Game,PS3,Electronic Arts,EA Redwood Shores,7.5,6.966666666666666,0.89,2007.0
2770,SingStar Anthems,PS2,Sony Computer Entertainment,SCEE London Studio,7.666666666666667,7.400000000000001,0.89,2006.0
2771,Seiken Densetsu 3,SNES,Square,SquareSoft,7.466666666666666,6.833333333333333,0.89,1995.0
2772,Mega Man 8 Anniversary Collector's Edition,PS,Capcom,Capcom,7.5,7.8999999999999995,0.88,1997.0
2773,Buzz! Quiz TV,PS3,Sony Computer Entertainment,Relentless Software,7.9,8.1,0.88,2008.0
2774,F1 2010,X360,Codemasters,Codemasters Birmingham,8.4,6.8,0.88,2010.0
2775,Call of Juarez: Bound in Blood,PS3,Ubisoft,Techland,7.7,5.5,0.88,2009.0
2776,The Lord of the Rings: War in the North,X360,Warner Bros. Interactive,Snowblind Studios,6.6,7.266666666666667,0.88,2011.0
2777,Star Wars: The Force Unleashed,DS,LucasArts,n-Space,7.0,6.766666666666667,0.88,2008.0
2778,Call of Duty: Modern Warfare 2,PC,Activision,Infinity Ward,9.0,2.766666666666667,0.88,2009.0
2779,LittleBigPlanet Karting,PS3,Sony Computer Entertainment,United Front Games,5.0,6.7,0.88,2012.0
2780,Monster 4x4: World Circuit,Wii,Ubisoft,Ubisoft Montreal,5.7,7.333333333333333,0.88,2006.0
2781,NBA 2K6,PS2,2K Sports,Unknown,8.0,6.7,0.88,2005.0
2782,Sonic Chronicles: The Dark Brotherhood,DS,Sega,BioWare Corp.,7.3,6.766666666666667,0.88,2008.0
2783,Buzz! The Mega Quiz,PS2,Sony Computer Entertainment,Relentless Software,8.0,8.1,0.88,2007.0
2784,Star Wars: Rebel Assault II - The Hidden Empire,PS,LucasArts,Factor 5,8.833333333333334,6.266666666666667,0.88,1996.0
2785,Rock Band 3,X360,MTV Games,Harmonix Music Systems,9.4,6.433333333333334,0.88,2010.0
2786,F1 2009,Wii,Codemasters,Sumo Digital,6.8,5.766666666666667,0.88,2009.0
2787,LEGO Harry Potter Collection,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,7.3,7.3,0.88,2016.0
2788,WWE SmackDown vs. Raw 2011,X360,THQ,JAKKS Pacific,7.1,7.900000000000001,0.88,2010.0
2789,ESPN NHL 2K5,PS2,Sega,Kush Games,9.2,5.533333333333334,0.88,2004.0
2790,Madden NFL 08,Wii,EA Sports,EA Tiburon,8.5,6.333333333333333,0.88,2007.0
2791,Metal Gear Ac!d,PSP,Konami,Konami,7.4,8.433333333333334,0.87,2005.0
2792,Crimson Skies: High Road to Revenge,XB,Microsoft Game Studios,FASA Studio,9.1,5.866666666666667,0.87,2003.0
2793,Spec Ops: Ranger Elite,PS,Take-Two Interactive,Runecraft,5.933333333333333,7.2,0.87,2001.0
2794,Gex,PS,Crystal Dynamics,Crystal Dynamics,6.0,7.6000000000000005,0.87,1995.0
2795,Minecraft: Story Mode,PS4,Mojang,Telltale Games,6.166666666666667,6.533333333333334,0.87,2015.0
2796,Tales of Xillia 2,PS3,Namco Bandai Games,Unknown,6.8999999999999995,6.900000000000001,0.87,2014.0
2797,Peppa Pig: The Game,DS,Pinnacle,Asylum Entertainment,6.166666666666667,8.1,0.87,2008.0
2798,Michael Jackson: The Experience,X360,Ubisoft,Ubisoft Montreal,5.6,7.333333333333333,0.87,2011.0
2799,Derby Stallion II,SNES,ASCII Entertainment,ASCII Entertainment,7.0,7.7,0.87,1994.0
2800,Tom Clancy's Ghost Recon: Island Thunder,XB,Ubisoft,Red Storm Entertainment,8.4,7.5,0.87,2003.0
2801,Sleeping Dogs,X360,Square Enix,United Front Games,7.9,7.8,0.87,2012.0
2802,Kingdoms of Amalur: Reckoning,X360,Electronic Arts,38 Studios,9.0,6.933333333333334,0.87,2012.0
2803,LEGO Dimensions,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,7.733333333333333,7.1000000000000005,0.87,2015.0
2804,Need for Speed: V-Rally,PS,Electronic Arts,Infogrames,8.0,5.1000000000000005,0.87,1997.0
2805,Kingdom Hearts Re: Chain of Memories,PS2,Square Enix,Jupiter Corporation,7.2,8.3,0.87,2008.0
2806,Final Fantasy XIV Online,PS3,Square Enix,Square Enix,8.4,8.633333333333335,0.87,2013.0
2807,Super Bomberman R,NS,Konami Digital Entertainment,HexaDrive,6.3,6.7,0.87,2017.0
2808,The Evil Within,PS3,Bethesda Softworks,Tango Gameworks,6.933333333333334,7.3999999999999995,0.87,2014.0
2809,NFL GameDay '97,PS,Sony Computer Entertainment,SCEA,7.1000000000000005,5.566666666666666,0.87,1996.0
2810,Paper Mario: Color Splash,WiiU,Nintendo,Intelligent Systems,7.4,6.4,0.87,2016.0
2811,Tony Hawk's Project 8,PS2,Activision,Shaba Games,6.6,3.966666666666667,0.87,2006.0
2812,Grand Theft Auto IV,PC,Rockstar Games,Rockstar Toronto,9.2,8.766666666666667,0.87,2008.0
2813,NHL 2000,PS,EA Sports,EA Canada,8.533333333333333,4.9,0.87,1999.0
2814,Cooking Mama: World Kitchen,Wii,Majesco,Cooking Mama Limited,7.0,7.933333333333334,0.87,2008.0
2815,GRID,X360,Codemasters,Codemasters,8.7,5.733333333333333,0.87,2008.0
2816,DiRT,X360,Codemasters,Codemasters,8.4,7.666666666666667,0.87,2007.0
2817,Red Faction: Guerrilla,X360,THQ,Volition Inc.,8.4,5.366666666666667,0.87,2009.0
2818,Fight Night Round 2,PS2,EA Sports,EA Sports,9.0,5.066666666666667,0.87,2005.0
2819,Mario Party: Star Rush,3DS,Nintendo,"Nd Cube Co., Ltd.",6.2,7.1,0.87,2016.0
2820,Conflict: Desert Storm,XB,Gotham Games,Pivotal Games,7.7,7.333333333333333,0.87,2002.0
2821,Triple Play 2002,PS2,EA Sports,Pandemic Studios,5.9,7.466666666666666,0.87,2002.0
2822,Brothers In Arms: Hell's Highway,X360,Ubisoft,Gearbox Software,7.6,5.733333333333334,0.87,2008.0
2823,Vagrant Story,PS,Square EA,SquareSoft,9.3,8.6,0.87,2000.0
2824,Warriors Orochi,PS2,KOEI,Omega Force,6.0,7.0,0.87,2007.0
2825,Mercenaries 2: World in Flames,PS3,Electronic Arts,Pandemic Studios,6.0,7.033333333333334,0.87,2008.0
2826,Ghostbusters: The Video Game,Wii,Atari,Red Fly Studio,7.6,7.533333333333334,0.87,2009.0
2827,Wizards of Waverly Place,DS,Disney Interactive Studios,"Black Lantern Studios, Inc.",5.0,6.133333333333333,0.87,2009.0
2828,Enduro,2600,Activision,Activision,7.733333333333334,7.400000000000001,0.87,1983.0
2829,For Honor,XOne,Ubisoft,Ubisoft Montreal,7.9,5.9,0.87,2017.0
2830,Endless Ocean: Blue World,Wii,Nintendo,Arika,7.6,7.666666666666667,0.87,2010.0
2831,SingStar '90s,PS2,Sony Computer Entertainment,SCEE London Studio,7.5,7.400000000000001,0.87,2008.0
2832,Dead Rising 4,XOne,Microsoft Studios,Capcom,7.2,4.7,0.87,2016.0
2833,Wii Fit U,WiiU,Nintendo,Nintendo,7.2,7.7,0.86,2014.0
2834,Final Fantasy X / X-2 HD Remaster,PSV,Square Enix,Square Enix,9.3,9.0,0.86,2014.0
2835,Tales of the Abyss,3DS,Namco Bandai,Namco Tales Studio,7.3,7.8,0.86,2012.0
2836,Lemmings,PSP,Sony Computer Entertainment,Team17 Software,7.3,7.066666666666667,0.86,2006.0
2837,Beijing 2008,PS3,Sega,Eurocom Entertainment Software,6.033333333333334,7.833333333333333,0.86,2008.0
2838,Winning Eleven: Pro Evolution Soccer 2007,PSP,Konami,Konami Computer Entertainment Tokyo,8.2,7.766666666666667,0.86,2007.0
2839,Rocky,PS2,Ubisoft,Rage Software,8.3,7.933333333333333,0.86,2002.0
2840,BioShock: The Collection,PS4,2K Games,"Blind Squirrel Digital, Inc",8.4,8.4,0.86,2016.0
2841,Dishonored 2,XOne,Bethesda Softworks,Arkane Studios,8.8,7.2,0.86,2016.0
2842,Ford Racing,PS,Empire Interactive,2K Games,4.3,7.366666666666667,0.86,2001.0
2843,Rise of Nations,PC,Microsoft Game Studios,Big Huge Games,8.8,7.533333333333332,0.86,2003.0
2844,Plants vs. Zombies: Garden Warfare 2,XOne,Electronic Arts,PopCap Games,7.7,7.566666666666666,0.86,2016.0
2845,Madden Football 64,N64,EA Sports,EA Tiburon,7.8,5.466666666666666,0.86,1997.0
2846,LEGO Batman 2: DC Super Heroes,3DS,Warner Bros. Interactive Entertainment,TT Fusion,5.5,7.3,0.86,2012.0
2847,Magicka 2,PC,Paradox Interactive,Paradox Interactive,6.9,5.7,0.86,2015.0
2848,MLB 99,PS,Sony Computer Entertainment,Sony Interactive Studios America,5.8999999999999995,6.8,0.86,1998.0
2849,Guitar Hero: Warriors of Rock,X360,Activision,Neversoft Entertainment,7.1,7.366666666666666,0.86,2010.0
2850,Bayonetta 2,WiiU,Nintendo,PlatinumGames,9.3,8.9,0.86,2014.0
2851,Gold's Gym: Dance Workout,Wii,Ubisoft,Land Ho!,6.1000000000000005,6.166666666666667,0.86,2010.0
2852,Dynasty Warriors 4: Xtreme Legends,PS2,KOEI,Omega Force,7.166666666666667,7.633333333333333,0.86,2003.0
2853,Pictionary,Wii,THQ,"Page 44 Studios, LLC",7.5,6.433333333333334,0.86,2010.0
2854,Mafia III,PC,2K Games,Hangar 13,6.5,3.6,0.86,2016.0
2855,Tomb Raider: Anniversary,Wii,Eidos Interactive,Crystal Dynamics,6.8,6.400000000000001,0.85,2007.0
2856,Army Men: Air Attack,PS,3DO,3DO,6.5,7.7,0.85,1999.0
2857,Kingdoms of Amalur: Reckoning,PS3,Electronic Arts,38 Studios,9.0,6.933333333333334,0.85,2012.0
2858,Thief,PS4,Square Enix,Eidos Montreal,6.7,6.2,0.85,2014.0
2859,FIFA Soccer 08,DS,EA Sports,EA Canada,8.2,6.2,0.85,2007.0
2860,2010 FIFA World Cup South Africa,X360,EA Sports,EA Canada,8.4,6.566666666666666,0.85,2010.0
2861,NBA 2K8,X360,2K Sports,Visual Concepts,7.9,6.1000000000000005,0.85,2007.0
2862,Until Dawn: Rush of Blood,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,7.2,7.7,0.85,2016.0
2863,Ninja Gaiden Sigma 2,PS3,Tecmo Koei,Team Ninja,8.5,7.833333333333333,0.85,2009.0
2864,Street Fighter Alpha 2,PS,Capcom,Capcom,8.2,8.200000000000001,0.85,1996.0
2865,Disney Infinity 3.0,PS4,Disney Interactive Studios,Avalanche Software,6.866666666666667,7.333333333333333,0.85,2015.0
2866,Tiger Woods PGA Tour 2005,XB,EA Sports,EA Redwood Shores,9.0,6.966666666666666,0.85,2004.0
2867,Dragon Ball Z: Burst Limit,PS3,Atari,Dimps Corporation,7.3,7.3999999999999995,0.85,2008.0
2868,Castlevania III: Dracula's Curse,NES,Konami,Konami,9.0,8.566666666666666,0.85,1990.0
2869,Army of Two: The 40th Day,PS3,Electronic Arts,EA Montreal,7.1,6.6000000000000005,0.85,2010.0
2870,Rampage World Tour,PS,Midway Games,Game Refuge,7.3999999999999995,8.299999999999999,0.85,1997.0
2871,The Legendary Starfy,DS,Nintendo,TOSE Software,7.1,7.533333333333334,0.85,2009.0
2872,Red Orchestra: Ostfront 41-45,PC,Tripwire Interactive,Tripwire Interactive,8.5,7.866666666666667,0.85,2006.0
2873,Farming Simulator 17,PS4,Focus Home Interactive,Giants Software,6.9,6.5,0.85,2016.0
2874,Burnout Legends,PSP,Electronic Arts,Criterion Games,8.4,6.666666666666667,0.85,2005.0
2875,NCAA Football 11,PS3,EA Sports,EA Tiburon,8.5,6.166666666666667,0.85,2010.0
2876,LEGO Jurassic World,3DS,Warner Bros. Interactive Entertainment,TT Fusion,7.5,7.3,0.85,2015.0
2877,Ratatouille,PS2,THQ,Asobo Studio,6.0,7.166666666666667,0.85,2007.0
2878,NFL GameDay,PS,Sony Computer Entertainment,Sony Interactive Studios America,8.0,6.266666666666667,0.85,1996.0
2879,Burnout 2: Point of Impact,PS2,Acclaim Entertainment,Criterion Games,9.0,6.8,0.85,2002.0
2880,The House of the Dead: Overkill,Wii,Sega,Headstrong Games,7.9,8.266666666666666,0.85,2009.0
2881,Street Fighter EX3,PS2,Capcom,Arika,7.766666666666667,7.2,0.85,2000.0
2882,Darksiders II,PS3,THQ,Vigil Games,8.3,8.166666666666666,0.85,2012.0
2883,Ghostbusters: The Video Game,PS3,Atari,Terminal Reality,7.8,6.3999999999999995,0.84,2009.0
2884,Spider-Man 2,GC,Activision,Treyarch,7.7,7.699999999999999,0.84,2004.0
2885,Sniper Elite V2,X360,505 Games,Rebellion Developments,7.0,6.066666666666666,0.84,2012.0
2886,Xenoblade Chronicles X,WiiU,Nintendo,Monolith Soft,8.1,9.1,0.84,2015.0
2887,NBA 2K10,PS3,2K Sports,Visual Concepts,8.2,6.7,0.84,2009.0
2888,SUPERHOT,PC,SUPERHOT Team,SUPERHOT Team,8.2,7.5,0.84,2016.0
2889,The Incredibles,GC,THQ,Heavy Iron Studios,6.2,7.766666666666667,0.84,2004.0
2890,Skate 2,PS3,Electronic Arts,EA Black Box,8.2,6.566666666666667,0.84,2009.0
2891,Petz Dogz Fashion,DS,Ubisoft,Ubisoft,6.2,7.466666666666666,0.84,2008.0
2892,ATV Quad Power Racing 2,PS2,Acclaim Entertainment,Climax Entertainment,6.8,6.233333333333333,0.84,2003.0
2893,Lego Batman 3: Beyond Gotham,PS3,Warner Bros. Interactive Entertainment,Traveller's Tales,7.033333333333334,6.633333333333333,0.84,2014.0
2894,ZombiU,WiiU,Ubisoft,Ubisoft Montpellier,6.9,7.7,0.84,2012.0
2895,Rocket Power: Team Rocket Rescue,PS,THQ,Darkblack,7.866666666666667,7.533333333333334,0.84,2001.0
2896,Madden NFL 09 All-Play,Wii,EA Sports,EA Tiburon,8.6,6.333333333333333,0.84,2008.0
2897,Big Mutha Truckers,PS2,THQ,Eutechnyx,6.3,7.833333333333333,0.84,2003.0
2898,Harry Potter and the Order of the Phoenix,DS,Electronic Arts,Visual Impact,6.0,7.333333333333333,0.84,2007.0
2899,Rogue Galaxy,PS2,Sony Computer Entertainment,Level 5,8.3,7.5,0.84,2007.0
2900,Street Fighter X Tekken,PS3,Capcom,Capcom,7.866666666666667,6.3,0.84,2012.0
2901,MLB 13: The Show,PS3,Sony Computer Entertainment,SCE San Diego Studio,8.5,7.666666666666667,0.84,2013.0
2902,ESPN College Hoops 2K5,PS2,Sega,Visual Concepts,8.8,6.800000000000001,0.84,2004.0
2903,Blazing Angels: Squadrons of WWII,Wii,Ubisoft,Ubisoft Romania,4.7,7.266666666666666,0.84,2007.0
2904,Metroid: Zero Mission,GBA,Nintendo,Nintendo R&D1,8.9,7.366666666666667,0.84,2004.0
2905,Ben 10: Protector of Earth,PS2,D3 Publisher,High Voltage Software,6.2,6.666666666666667,0.84,2007.0
2906,Q*bert,PS,Hasbro Interactive,Artech Digital Entertainment,6.9,6.933333333333334,0.84,1999.0
2907,NCAA Football 12,PS3,EA Sports,EA Tiburon,7.7,6.166666666666667,0.83,2011.0
2908,Forza Horizon 2,X360,Microsoft Studios,Sumo Digital,5.3999999999999995,6.633333333333333,0.83,2014.0
2909,Dead Cells,PC,Motion Twin,Motion Twin,8.9,7.5,0.83,2017.0
2910,Madden NFL 25,XOne,EA Sports,EA Tiburon,7.1,5.8,0.83,2013.0
2911,DJ Hero 2,X360,Activision,FreeStyle Games,8.5,7.966666666666666,0.83,2010.0
2912,Call of Duty: Modern Warfare 3,Wii,Activision,Infinity Ward,4.5,3.9,0.83,2011.0
2913,Time Crisis 4,PS3,Namco Bandai,Bandai Namco Games,6.1,6.666666666666667,0.83,2007.0
2914,Dynasty Warriors 2,PS2,KOEI,Omega Force,7.9,7.633333333333334,0.83,2000.0
2915,Need for Speed: Nitro,Wii,Electronic Arts,EA Montreal,7.0,6.333333333333333,0.83,2009.0
2916,Duke Nukem Forever,X360,2K Games,Gearbox Software,4.3,5.400000000000001,0.83,2011.0
2917,Madden NFL 07,PSP,EA Sports,EA Tiburon,8.3,6.266666666666666,0.83,2006.0
2918,Stranglehold,X360,Midway Games,Midway Games,8.0,7.3,0.83,2007.0
2919,Metal Gear Solid V: The Phantom Pain,XOne,Konami Digital Entertainment,Kojima Productions,9.5,7.4,0.83,2015.0
2920,Tiger Woods PGA Tour 11,PS3,EA Sports,EA Tiburon,7.9,6.966666666666666,0.83,2010.0
2921,Dragon Age II,PS3,Electronic Arts,BioWare Corp.,7.7,5.933333333333334,0.83,2011.0
2922,Lizzie McGuire 2: Lizzie Diaries,GBA,Disney Interactive Studios,Artificial Mind and Movement,6.8,6.933333333333334,0.83,2004.0
2923,WWE SmackDown vs. Raw 2009,Wii,THQ,Yuke's Media Creations,8.2,7.033333333333334,0.83,2008.0
2924,FIFA Soccer World Championship,PS2,EA Sports,EA Sports,7.466666666666666,6.166666666666667,0.83,2000.0
2925,Brute Force,XB,Microsoft Game Studios,Digital Anvil,8.1,5.000000000000001,0.83,2003.0
2926,Rayman Origins,Wii,Ubisoft,Ubisoft,9.5,8.533333333333333,0.83,2011.0
2927,Sniper: Ghost Warrior,PS3,City Interactive,City Interactive,4.5,6.133333333333333,0.83,2011.0
2928,Scooby-Doo! First Frights,DS,Warner Bros. Interactive,Torus Games,5.0,7.333333333333333,0.83,2009.0
2929,Yu-Gi-Oh! Dark Duel Stories,GB,Konami,KCEJ,6.2,7.533333333333334,0.83,2002.0
2930,The Game of Life,PS,Hasbro Interactive,Double Helix Games,6.666666666666667,6.266666666666667,0.83,1998.0
2931,Dance Central 3,X360,Microsoft,Harmonix Music Systems,8.0,5.966666666666666,0.83,2012.0
2932,Mega Man Legends,PS,Capcom,Capcom,8.4,7.266666666666667,0.83,1998.0
2933,Sly 3: Honor Among Thieves,PS2,Sony Computer Entertainment,Sucker Punch,8.1,7.366666666666667,0.83,2005.0
2934,Dragon Ball: Raging Blast 2,PS3,Namco Bandai,Spike,6.0,8.966666666666667,0.83,2010.0
2935,Twisted Metal (2012),PS3,Sony Computer Entertainment,Eat Sleep Play,7.9,6.866666666666667,0.83,2012.0
2936,MLB SlugFest 20-03,PS2,Midway Games,Gratuitous Games,8.3,7.533333333333334,0.83,2002.0
2937,Guitar Hero Live,XOne,Activision,FreeStyleGames,8.1,5.1,0.83,2015.0
2938,Assetto Corsa,PC,Kunos Simulazioni,Kunos Simulazioni,8.5,8.4,0.83,2014.0
2939,Sid Meier's Civilization Revolution,X360,2K Games,Firaxis Games,8.4,6.366666666666667,0.83,2008.0
2940,MediEvil,PS,Sony Computer Entertainment,SCEE Cambridge,7.8,7.066666666666666,0.83,1998.0
2941,Casper,PS,Interplay,Funcom,4.9,4.533333333333333,0.83,1996.0
2942,Dragon Ball: Xenoverse,PC,Namco Bandai Games,Dimps Corporation,7.333333333333333,7.733333333333333,0.82,2015.0
2943,Harvest Moon: Tree of Tranquility,Wii,Natsume,Runtime,6.5,7.266666666666667,0.82,2008.0
2944,James Bond 007: Nightfire,XB,Electronic Arts,Eurocom Entertainment Software,8.066666666666668,6.166666666666667,0.82,2002.0
2945,Tony Hawk's Underground 2 Remix,PSP,Activision,Shaba Games,8.5,3.966666666666667,0.82,2005.0
2946,Marvel: Ultimate Alliance,PS2,Activision,Raven Software,8.1,6.766666666666666,0.82,2006.0
2947,Tony Hawk's Pro Skater 3,GC,Activision,Neversoft Entertainment,9.1,7.533333333333334,0.82,2001.0
2948,FIFA 17,X360,Electronic Arts,EA Canada,8.233333333333334,4.966666666666667,0.82,2016.0
2949,Karaoke Revolution Glee,Wii,Konami,Blitz Games,6.433333333333334,6.066666666666667,0.82,2010.0
2950,I Spy: Fun House,DS,Scholastic Inc.,Big Blue Bubble Inc.,5.0,6.833333333333333,0.82,2007.0
2951,Need for Speed: Hot Pursuit 2,XB,Electronic Arts,EA Black Box,8.2,6.333333333333333,0.82,2002.0
2952,The Price is Right,Wii,Ubisoft,Ludia Inc.,6.633333333333333,7.133333333333333,0.82,2008.0
2953,Clu Clu Land,NES,Nintendo,Nintendo R&D1,7.133333333333333,6.666666666666667,0.82,1985.0
2954,Killer Instinct Gold,N64,Nintendo,Rare Ltd.,7.333333333333333,6.766666666666667,0.82,1996.0
2955,Amped: Freestyle Snowboarding,XB,Microsoft,Indie Built,8.5,7.633333333333333,0.82,2001.0
2956,MediEvil: Resurrection,PSP,Sony Computer Entertainment,SCEE,6.5,7.066666666666666,0.82,2005.0
2957,Custer's Revenge,2600,Mystique,Mystique,5.5,7.666666666666667,0.82,1982.0
2958,Rocket Power: Beach Bandits,PS2,THQ,Evolution Games,5.0,7.533333333333334,0.82,2002.0
2959,The Lord of the Rings: War in the North,PS3,Warner Bros. Interactive,Snowblind Studios,6.5,7.3999999999999995,0.82,2011.0
2960,Patapon,PSP,Sony Computer Entertainment,Pyramid/JAPAN Studio,8.7,5.733333333333333,0.82,2008.0
2961,The Crew 2,PS4,Ubisoft,Ivory Tower,6.5,5.0,0.82,2018.0
2962,Pro Evolution Soccer 2016,PS4,Konami Digital Entertainment,PES Productions,8.7,7.2,0.82,2015.0
2963,The Walking Dead: A Telltale Games Series,PS3,Telltale Games,Telltale Games,8.700000000000001,7.866666666666667,0.82,2012.0
2964,Shin Megami Tensei: Persona 4,PS2,Atlus,Atlus,9.2,5.3,0.82,2008.0
2965,EA Sports Active NFL Training Camp,Wii,EA Sports,EA Vancouver,8.033333333333333,4.8999999999999995,0.82,2010.0
2966,Professor Layton vs Ace Attorney,3DS,Nintendo,Level 5,8.1,7.433333333333334,0.82,2014.0
2967,theHunter: Call of the Wild,PC,Maximum Games,Expansive Worlds,6.4,7.4,0.82,2017.0
2968,Dragon Quest III,GB,Enix,TOSE,7.5,7.3,0.81,2001.0
2969,Ready 2 Rumble Boxing: Round 2,PS2,Midway Games,Midway Games,7.9,7.033333333333334,0.81,2000.0
2970,Kamaitachi no Yoru,SNES,ChunSoft,ChunSoft,3.1999999999999997,6.166666666666667,0.81,1994.0
2971,Imagine: Rock Star,DS,Ubisoft,Gevo Entertainment,3.2,8.033333333333333,0.81,2008.0
2972,Yokai Watch 3: Sukiyaki,3DS,Nintendo,Level 5,7.066666666666667,8.799999999999999,0.81,2019.0
2973,Tales of Destiny II,PS,Namco,Telenet Japan / Wolfteam,7.5,6.6000000000000005,0.81,2001.0
2974,Super Bomberman 2,SNES,Hudson Soft,Produce!,4.233333333333333,5.866666666666667,0.81,1994.0
2975,NASCAR 2001,PS,EA Sports,EA Black Box,8.1,3.9,0.81,2000.0
2976,DmC Devil May Cry,PS3,Capcom,Ninja Theory,7.133333333333333,8.533333333333333,0.81,2013.0
2977,The Legend of Zelda: Four Swords Adventures,GC,Nintendo,Nintendo EAD,8.4,9.133333333333333,0.81,2004.0
2978,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,Konami,Diamond Head,7.366666666666667,6.5,0.81,1999.0
2979,Shaun White Snowboarding,X360,Ubisoft,Ubisoft Montreal,6.2,8.200000000000001,0.81,2008.0
2980,Final Fantasy Type-0,PSP,Unknown,Square Enix,8.466666666666667,8.4,0.81,2011.0
2981,Madden NFL 16,PS3,EA Sports,EA Tiburon,8.0,5.466666666666666,0.81,2015.0
2982,Army Men: Sarge's Heroes,N64,3DO,3DO,4.2,7.7,0.81,1999.0
