,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
62,Marvel's Spider-Man,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,8.7,13.2,2018.0
63,Grand Theft Auto III,PS2,Rockstar Games,DMA Design,9.5,7.333333333333333,13.1,2001.0
64,Portal 2,PC,Valve,Valve Software,9.7,9.0,13.06,2011.0
65,Minecraft,X360,Microsoft Studios,Mojang,8.5,7.366666666666667,13.0,2013.0
66,Super Mario Galaxy,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.8,2007.0
67,Pokemon Heart Gold / Soul Silver Version,DS,Nintendo,Game Freak,8.6,8.200000000000001,12.72,2010.0
68,Super Mario 3D Land,3DS,Nintendo,Nintendo EAD Tokyo,8.9,8.4,12.7,2011.0
69,Call of Duty: Black Ops,PS3,Activision,Treyarch,8.7,4.433333333333334,12.67,2010.0
70,Grand Theft Auto V,PC,Rockstar Games,Rockstar North,9.6,7.7,12.6,2015.0
71,Animal Crossing: New Leaf,3DS,Nintendo,Nintendo EAD,8.6,8.8,12.55,2013.0
72,The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,9.3,9.4,12.4,2015.0
73,Diablo III,PC,Blizzard Entertainment,Blizzard Entertainment,9.0,4.1,12.0,2012.0
74,Half-Life 2,PC,VU Games,Valve Software,9.7,8.033333333333333,12.0,2004.0
75,Pokemon FireRed / LeafGreen Version,GBA,Nintendo,Game Freak,8.3,8.700000000000001,12.0,2004.0
76,World of Warcraft,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,8.0,12.0,2004.0
77,"Pokemon: Let's Go, Pikachu/Eevee",NS,Nintendo,Game Freak,8.0,6.2,11.97,2018.0
78,Gran Turismo 5,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,8.133333333333333,11.95,2010.0
79,Super Mario 64,N64,Nintendo,Nintendo EAD,9.7,9.0,11.91,1996.0
80,FIFA 18,PS4,EA Sports,EA Vancouver,8.3,3.4,11.8,2017.0
81,The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,9.5,9.1,11.78,2014.0
82,Gran Turismo 4,PS2,Sony Computer Entertainment,Polyphony Digital,8.7,8.133333333333333,11.76,2005.0
83,Animal Crossing: Wild World,DS,Nintendo,Nintendo EAD,8.5,7.033333333333334,11.75,2005.0
84,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Nintendo R&D1,9.0,8.5,11.18,1992.0
85,Grand Theft Auto IV,X360,Rockstar Games,Rockstar North,10.0,8.799999999999999,11.09,2008.0
86,Super Mario 64 DS,DS,Nintendo,Nintendo EAD,8.6,8.5,11.06,2004.0
87,God of War (2018),PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,10.0,11.0,2018.0
88,StarCraft,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,6.366666666666667,11.0,1998.0
89,FIFA 17,PS4,Electronic Arts,EA Canada,8.9,4.8,10.94,2016.0
90,Gran Turismo,PS,Sony Computer Entertainment,Polyphony Digital,9.5,8.133333333333333,10.85,1998.0
91,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,9.2,9.2,10.8,2015.0
92,Call of Duty: Modern Warfare 2,PS3,Activision,Infinity Ward,9.5,3.4333333333333336,10.61,2009.0
93,Grand Theft Auto IV,PS3,Rockstar Games,Rockstar North,10.0,9.0,10.57,2008.0
94,Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,9.2,9.5,10.55,1993.0
95,Call of Duty: Ghosts,X360,Activision,Infinity Ward,6.9,5.633333333333333,10.41,2013.0
96,Just Dance 3,Wii,Ubisoft,Ubisoft Paris,7.5,6.8,10.14,2011.0
